                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74326,                0.48273,                 1.0751,                0.97632,                0.96957,                 0.9839,                0.84764,                0.61095,                0.40967,                0.88569,              0.0012687,              0.0012687,              0.0012687
                     36,                0.72389,                0.47758,                 1.0641,                0.91006,                0.91793,                0.93966,                0.78348,                0.67361,                0.55361,                0.97383,               0.001264,               0.001264,               0.001264
                     37,                0.74471,                0.47619,                 1.0973,                0.97212,                0.97752,                 0.9755,                0.84505,                 0.5705,                0.37369,                0.87599,              0.0012592,              0.0012592,              0.0012592
                     38,                0.74222,                0.48673,                 1.0688,                0.97032,                0.97912,                0.98475,                0.83967,                0.62289,                0.38391,                0.94093,              0.0012545,              0.0012545,              0.0012545
                     39,                0.72186,                0.46529,                 1.0497,                0.93993,                0.96596,                0.97556,                0.82186,                0.62613,                0.42312,                0.90044,              0.0012498,              0.0012498,              0.0012498
                     40,                0.73535,                0.47682,                 1.0698,                0.96536,                 0.9609,                0.98748,                0.84429,                0.61022,                0.40311,                0.88196,              0.0012451,              0.0012451,              0.0012451
                     41,                0.75911,                0.49692,                  1.084,                0.95502,                 0.9609,                0.98125,                0.85269,                0.59929,                 0.3977,                0.87343,              0.0012404,              0.0012404,              0.0012404
                     42,                0.71287,                0.47832,                 1.0401,                0.95363,                0.93269,                0.97879,                0.82464,                 0.6806,                0.37792,                0.96328,              0.0012357,              0.0012357,              0.0012357
                     43,                0.72035,                0.48593,                  1.046,                0.94871,                0.92419,                0.96782,                0.82035,                0.61338,                0.44858,                0.86791,              0.0012309,              0.0012309,              0.0012309
                     44,                0.68471,                0.45014,                 1.0325,                0.94913,                0.92544,                0.96118,                0.81732,                0.58619,                0.41702,                0.85588,              0.0012262,              0.0012262,              0.0012262
                     45,                0.70561,                0.45791,                 1.0673,                0.98825,                 0.9737,                0.98267,                0.83943,                 0.5832,                0.38836,                0.87143,              0.0012215,              0.0012215,              0.0012215
                     46,                0.71633,                 0.4846,                 1.0693,                 0.9719,                 0.9804,                0.98391,                0.84456,                0.59293,                0.34608,                0.86716,              0.0012168,              0.0012168,              0.0012168
                     47,                0.69279,                0.45089,                 1.0443,                0.95818,                0.98782,                0.98204,                0.81863,                0.61462,                0.38844,                0.88214,              0.0012121,              0.0012121,              0.0012121
                     48,                0.69162,                0.47098,                 1.0479,                0.95147,                0.96528,                0.97225,                0.85304,                0.57936,                0.37631,                0.86596,              0.0012074,              0.0012074,              0.0012074
                     49,                0.69447,                0.46775,                 1.0565,                0.97425,                0.97264,                0.98312,                0.84843,                0.57543,                0.34433,                0.88358,              0.0012026,              0.0012026,              0.0012026
                     50,                0.68837,                0.45243,                 1.0399,                0.92368,                0.95673,                0.97587,                0.83637,                0.58379,                0.38657,                 0.8811,              0.0011979,              0.0011979,              0.0011979
                     51,                0.67285,                0.43555,                  1.033,                0.97318,                0.98611,                0.98949,                0.86571,                0.58694,                0.36739,                0.88757,              0.0011932,              0.0011932,              0.0011932
                     52,                0.68388,                0.44608,                 1.0601,                0.94314,                0.98223,                0.98054,                0.84061,                0.63414,                0.36106,                0.94746,              0.0011885,              0.0011885,              0.0011885
                     53,                0.69958,                 0.4455,                 1.0554,                0.94487,                0.97222,                0.97315,                0.84549,                0.57853,                 0.3884,                0.87569,              0.0011838,              0.0011838,              0.0011838
                     54,                0.67452,                0.44033,                 1.0343,                0.94242,                0.93289,                0.96097,                0.83217,                0.54575,                0.47429,                0.85363,              0.0011791,              0.0011791,              0.0011791
                     55,                0.63967,                0.41985,                 1.0102,                0.95695,                0.96693,                0.97471,                 0.8561,                 0.5143,                0.38523,                0.84579,              0.0011744,              0.0011744,              0.0011744
                     56,                0.63811,                0.42122,                 1.0058,                0.96421,                0.98016,                0.97209,                0.85243,                0.52725,                0.37831,                0.85458,              0.0011696,              0.0011696,              0.0011696
                     57,                0.64545,                0.41657,                 1.0176,                0.96651,                0.97947,                0.98138,                 0.8657,                0.50858,                0.31793,                0.85146,              0.0011649,              0.0011649,              0.0011649
                     58,                0.64495,                0.41506,                 1.0311,                0.98124,                0.98109,                0.98473,                0.86477,                0.52844,                0.33405,                0.84472,              0.0011602,              0.0011602,              0.0011602
                     59,                0.66382,                0.43021,                 1.0418,                0.91043,                0.94834,                0.94092,                0.82905,                0.52478,                0.41051,                 0.8445,              0.0011555,              0.0011555,              0.0011555
